"school_name","school_type","city","telephone0","telephone1","fax","website","email","formation_type","network_type","level","administrative_region","language","code","schoolboard","manager","address","city_province","postal_code"
"École des Sommets","Préscolaire et primaire (public)","Saint-Sébastien","(819) 583-2148","(819) 583-2148","(819) 652-1100","","Diane.Moreau@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751084","Commission scolaire des Hauts-Cantons","Marcel Boulanger","287, rue de la Fabrique","Saint-Sébastien (Québec)","G0Y 1M0"
"École Notre-Dame-des-Érables","Préscolaire et primaire (public)","Sainte-Anne-de-la-Rochelle","(819) 847-1610","(819) 847-1610","(450) 539-3197","","nderables@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753063","Commission scolaire des Sommets","Paul Lessard","102, rue du Couvent","Sainte-Anne-de-la-Rochelle (Québec)","J0E 2B0"
"École Dominique-Savio","Préscolaire et primaire (public)","Sainte-Catherine-de-Hatley","(819) 847-1610","(819) 847-1610","(819) 843-9264","http://www.csdessommets.qc.ca/ecoles/Dominiquesavio/index.html","dominiquesavio@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753024","Commission scolaire des Sommets","Jocelyne Morel","115, rue la Grand-Rue","Sainte-Catherine-de-Hatley (Québec)","J0B 1W0"
"École de Sainte-Cécile","Préscolaire et primaire (public)","Sainte-Cécile-de-Whitton","(819) 583-1383","(819) 583-1383","(819) 583-0810","","Diane.Moreau@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751082","Commission scolaire des Hauts-Cantons","Marcel Boulanger","4570, rue Principale","Sainte-Cécile-de-Whitton (Québec)","G0Y 1J0"
"École Saint-Paul","Préscolaire et primaire (public)","Scotstown","(819) 832-1114","(819) 832-1114","(819) 657-4245","","Micheline.Poulin@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751055","Commission scolaire des Hauts-Cantons","Diane Robillard","67, rue de Ditton","Scotstown (Québec)","J0B 3B0"
"Bishop's College School","Secondaire (privé)","Sherbrooke","(819) 566-0227","(819) 566-0227","(819) 822-8917","http://www.bishopscollegeschool.com","wjohnson@bishopscollegeschool.com","Générale","Privé","Secondaire","Estrie","Anglais","033501","Bishop's college school","Ian Watt","80, chemin Moulton Hill","Sherbrooke (Québec)","J1M 1Z8"
"CDE Collège","Formation professionnelle (privé)","Sherbrooke","(819) 346-5000","(819) 346-5000","(819) 346-4463","http://www.cde-collegecom","jules.belanger@cde-college.com","Professionnelle","Privé","Formation professionnelle","Estrie","Anglais, Français","078501","CDE Collège","Jules Bélanger","37, rue Wellington Nord","Sherbrooke (Québec)","J1H 5A9"
"Cégep de Sherbrooke","Collégial (public)","Sherbrooke","(819) 564-6350","(819) 564-6350","(819) 564-1579","http://cegepsherbrooke.qc.ca/","communications@cegepsherbrooke.qc.ca","Préuniversitaire Technique","Public","Collégial","Estrie","Français","904000","Cégep de Sherbrooke","","475, rue du Cégep","Sherbrooke (Québec)","J1E 4K1"
"Centre d'apprentissage Eastern Townships","Secondaire (public)","Sherbrooke","(819) 822-1385","(819) 822-1385","(819) 822-4248","http://learningcentre.etsb.qc.ca/","sthilairea@etsb.qc.ca","Générale","Public","Secondaire","Estrie","Anglais","883025","Commission scolaire Eastern Townships","Velma Sutherland","1700, rue Collège","Sherbrooke (Québec)","J1M 0C8"
"Centre de Formation  professionnelle de Lennoxville","Formation professionnelle (public)","Sherbrooke","(819) 563-5627","(819) 563-5627","(819) 820-0500","http://www.lvtc.ca/","westonp@etsb.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Anglais, Français","883402","Commission scolaire Eastern Townships","Luc Rodrigue","1700, rue Collège","Sherbrooke (Québec)","J1M 0C8"
"Centre de l'éducation aux adultes New Horizons","Éducation des adultes (public)","Sherbrooke","(819) 566-0250","(819) 566-0250","(819) 566-2658","http://newhorizons.etsb.qc.ca/","brayd@etsb.qc.ca","Générale","Public","Éducation des adultes","Estrie","Anglais, Français","883301","Commission scolaire Eastern Townships","Camille Faucher","2365, rue Galt Ouest","Sherbrooke (Québec)","J1K 1L1"
"Centre de productique intégrée du Québec inc.","Collégial (public)","Sherbrooke","(819) 822-8998","(819) 822-8998","(819) 823-9864","http://www.productique.qc.ca","info@productique.qc.ca","","Public","Collégial","Estrie","","904090","Cégep de Sherbrooke","","720, rue Longpré","Sherbrooke (Québec)","J1G 4L3"
"Centre hospitalier universitaire de Sherbrooke (Site Fleurimont)","Préscolaire, primaire et secondaire (public)","Sherbrooke","(819) 346-1110","(819) 346-1110","","","","Générale","Public","Préscolaire, Primaire, Secondaire","Estrie","Français","752102","Commission scolaire de la Région-de-Sherbrooke","Éliane Arsenault","3001, 12e Avenue Nord","5e pédiatrie, bureau 4504</br>Sherbrooke (Québec)","J1H 5N4"
"Centre Le Goéland","Éducation des adultes (public)","Sherbrooke","(819) 822-5505","(819) 822-5505","(819) 822-5562","","goeland@csrs.qc.ca","Générale","Public","Éducation des adultes","Estrie","Anglais, Français","752367","Commission scolaire de la Région-de-Sherbrooke","Joanne Letendre","90, rue de l'Ontario","Sherbrooke (Québec)","J1J 3P9"
"Centre Saint-Michel","Éducation des adultes (public)","Sherbrooke","(819) 822-5520","(819) 822-5520","(819) 822-4924","http://www.csrs.qc.ca/etablissements","saintmichel@csrs.qc.ca","Générale","Public","Éducation des adultes","Estrie","Anglais, Français","752365","Commission scolaire de la Région-de-Sherbrooke","Carl Tourigny","135, rue King Ouest","Sherbrooke (Québec)","J1H 1P4"
"Champlain Regional College","Collégial (public)","Sherbrooke","(819) 564-3600","(819) 564-3600","(819) 564-3639","http://www.champlaincollege.qc.ca/","dbrisson@champlaincollege.qc.ca","Préuniversitaire Technique","Public","Collégial","Estrie","Anglais","936000","Champlain Regional College","","1301, boul. Portland","Sherbrooke (Québec)","J1J 1S2"
"Collège de comptabilité et de secrétariat du Québec, campus de Sherbrooke inc.","Formation professionnelle (privé)","Sherbrooke","(819) 821-2199","(819) 821-2199","(819) 346-4463","http://www.ccsq.ca","sherbrooke@ccsq.ca","Professionnelle","Privé","Formation professionnelle","Estrie","Anglais, Français","215501","Collège de comptabilité et de secrétariat du Québec, campus de Sherbrooke inc.","Ovila Gaudreault","265, rue du Cégep","Sherbrooke (Québec)","J1E 2J8"
"Collège du Mont Ste-Anne","Secondaire (privé)","Sherbrooke","(819) 823-3003","(819) 823-3003","(819) 569-9636","http://www.collegemsa.qc.ca","msa@collegemsa.qc.ca","Générale","Privé","Secondaire","Estrie","Français","086501","Collège du Mont Ste-Anne","André Ricard","2100, chemin Ste-Catherine","Sherbrooke (Québec)","J1N 3V5"
"Collège du Sacré-Coeur","Secondaire (privé)","Sherbrooke","(819) 569-9457","(819) 569-9457","(819) 820-0636","http://www.cscoeur.ca","info@cscoeur.ca","Générale","Privé","Secondaire","Estrie","Français","087501","Collège du Sacré-Coeur","Daniel Léveillé","155, rue Belvédère Nord","Sherbrooke (Québec)","J1H 4A7"
"Collège Mont Notre-Dame de Sherbrooke inc.","Secondaire (privé)","Sherbrooke","(819) 563-4104","(819) 563-4104","(819) 563-8689","http://www.mont-notre-dame.qc.ca","cmnd@mont-notre-dame.qc.ca","Générale","Privé","Secondaire","Estrie","Français","119501","Collège Mont Notre-Dame de Sherbrooke inc.","Éric Faucher","114, rue de la Cathédrale","Sherbrooke (Québec)","J1H 4M1"
"École Alfred-DesRochers","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5680","(819) 822-5680","(819) 823-3213","http://www.csrs.qc.ca/etablissements","alfreddesrochers@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752044","Commission scolaire de la Région-de-Sherbrooke","Martin St-Jean","7282, chemin de Saint-Élie","Sherbrooke (Québec)","J1R 0K5"
"École Anglissimo","Préscolaire (privé)","Sherbrooke","(819) 562-2323","(819) 562-2323","(819) 566-7656","http://www3.sympatico.ca/anglissimo/","anglissimo@sympatico.ca","Générale","Privé","Préscolaire","Estrie","Français","179501","École Anglissimo","Annie Richard","2796, rue Prospect","Sherbrooke (Québec)","J1L 3A9"
"École Beaulieu","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5642","(819) 822-5642","(819) 823-3217","http://www.csrs.qc.ca/etablissements","beaulieu@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752001","Commission scolaire de la Région-de-Sherbrooke","Lucie Sanschagrin","4565, rue Chambois","Sherbrooke (Québec)","J1N 2B7"
"École Brébeuf","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5644","(819) 822-5644","(819) 822-5645","http://www.csrs.qc.ca/etablissements","brebeuf@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752038","Commission scolaire de la Région-de-Sherbrooke","Patrick Pinsonneault","1875, rue Albert-Skinner","Sherbrooke (Québec)","J1J 1W8"
"École Champlain","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5650","(819) 822-5650","(819) 822-5651","http://www.csrs.qc.ca/etablissements","champlain@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752003","Commission scolaire de la Région-de-Sherbrooke","Élyse Bernier","2985, rue Galt Ouest","Sherbrooke (Québec)","J1K 1M3"
"École de Carillon","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5682","(819) 822-5682","(819) 822-6972","http://www.csrs.qc.ca/etablissements","carillon@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752034","Commission scolaire de la Région-de-Sherbrooke","Manon Larochelle","43, rue de Carillon","Sherbrooke (Québec)","J1J 2K9"
"École de la Maisonnée","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5686","(819) 822-5686","(819) 822-5503","http://www.csrs.qc.ca/etablissements","maisonnee@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752042","Commission scolaire de la Région-de-Sherbrooke","Louis-Philippe Campeau","1500, rue Mi-Vallon","Sherbrooke (Québec)","J1N 3Y5"
"École de la Montée","Secondaire (public)","Sherbrooke","(819) 822-5333","(819) 822-5333","(819) 822-6878","http://www.csrs.qc.ca/etablissements","montee@csrs.qc.ca","Générale","Public","Secondaire","Estrie","Français","752117","Commission scolaire de la Région-de-Sherbrooke","Céline Caron","940, rue de la Sainte-Famille","Sherbrooke (Québec)","J1E 1V1"
"École de la Sainte-Famille","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5694","(819) 822-5694","(819) 822-5488","http://www.csrs.qc.ca/etablissements","saintefamille@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752031","Commission scolaire de la Région-de-Sherbrooke","Sylvie Bureau","233, 8e Avenue Nord","Sherbrooke (Québec)","J1E 2S6"
"École de la Samare","Préscolaire et primaire (public)","Sherbrooke","(819) 822-6888","(819) 822-6888","(819) 822-4537","http://www.csrs.qc.ca/etablissements","samare@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752050","Commission scolaire de la Région-de-Sherbrooke","Nancy Gamache","3000, rue du Chalumeau","Sherbrooke (Québec)","J1G 5E9"
"École de l'Écollectif","Primaire (public)","Sherbrooke","(819) 822-5672","(819) 822-5672","(819) 822-5231","http://www.csrs.qc.ca/etablissements","ecollectif@csrs.qc.ca","Générale","Public","Primaire","Estrie","Français","752049","Commission scolaire de la Région-de-Sherbrooke","Danièle Charest","510, rue Union","Sherbrooke (Québec)","J1H 2X3"
"École des Deux-Rives","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5504","(819) 822-5504","(819) 846-4258","http://www.csrs.qc.ca/etablissements","marieimmaculee@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752015","Commission scolaire de la Région-de-Sherbrooke","Paul Labonté","81, rue du Curé-Larocque","Sherbrooke (Québec)","J1C 0T2"
"École Desjardins","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5652","(819) 822-5652","(819) 822-5323","http://www.csrs.qc.ca/etablissements","desjardins@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752005","Commission scolaire de la Région-de-Sherbrooke","Stéphane Besnard","1080, rue des Jardins-Fleuris","Sherbrooke (Québec)","J1E 1J7"
"École des Quatre-Vents","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5672","(819) 822-5672","(819) 822-5231","http://www.csrs.qc.ca/etablissements","quatrevents@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752027","Commission scolaire de la Région-de-Sherbrooke","Danièle Charest","510, rue de l'Union","Sherbrooke (Québec)","J1H 2X3"
"École Desranleau","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5684","(819) 822-5684","(819) 822-5638","http://www.csrs.qc.ca/etablissements","desranleau@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752006","Commission scolaire de la Région-de-Sherbrooke","Michel Lessard","1970, rue Galt Est","Sherbrooke (Québec)","J1G 3J1"
"École du Boisjoli","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5546","(819) 822-5546","(819) 864-4610","http://www.csrs.qc.ca/etablissements","boisjoli@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752041","Commission scolaire de la Région-de-Sherbrooke","Nicole Clermont","6403, rue Président-Kennedy","Sherbrooke (Québec)","J1N 2P5"
"École du Coeur-Immaculé","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5696","(819) 822-5696","(819) 822-5487","http://www.csrs.qc.ca/etablissements","coeurimmacule@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752004","Commission scolaire de la Région-de-Sherbrooke","Chantal Caron","330, 15e Avenue Sud","Sherbrooke (Québec)","J1G 2X5"
"École du Sacré-Coeur","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5690","(819) 822-5690","(819) 822-5543","http://www.csrs.qc.ca/etablissements","sacrecoeur@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752024","Commission scolaire de la Région-de-Sherbrooke","Lyne Proulx","137, rue Gillespie","Sherbrooke (Québec)","J1H 4W9"
"École du Saint-Esprit","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5670","(819) 822-5670","(819) 822-6862","http://www.csrs.qc.ca/etablissements","saintesprit@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752026","Commission scolaire de la Région-de-Sherbrooke","Anne Lamontagne","2425, rue Galt Ouest","Sherbrooke (Québec)","J1K 1L1"
"École du Soleil-Levant","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5664","(819) 822-5664","(819) 822-5490","http://www.csrs.qc.ca/etablissements","soleillevant@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752017","Commission scolaire de la Région-de-Sherbrooke","Louisa Khennache","830, rue Buck","Sherbrooke (Québec)","J1J 3L5"
"École du Touret","Préscolaire, primaire et secondaire (public)","Sherbrooke","(819) 822-5577","(819) 822-5577","(819) 822-5310","http://www.csrs.qc.ca/etablissements","touret@csrs.qc.ca","Générale","Public","Préscolaire, Primaire, Secondaire","Estrie","Français","752151","Commission scolaire de la Région-de-Sherbrooke","Isabelle Boucher","4076, boulevard de l'Université","Sherbrooke (Québec)","J1N 2Y1"
"École du Triolet","Secondaire (public)","Sherbrooke","(819) 822-5388","(819) 822-5388","(819) 822-4907","http://www.csrs.qc.ca/etablissements","triolet@csrs.qc.ca","Générale","Public","Secondaire","Estrie","Français","752116","Commission scolaire de la Région-de-Sherbrooke","Marc Juneau","2965, boulevard de l'Université","Sherbrooke (Québec)","J1K 2X6"
"École Eymard","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5654","(819) 822-5654","(819) 822-5657","http://www.csrs.qc.ca/etablissements","eymard@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752045","Commission scolaire de la Région-de-Sherbrooke","Isabelle Godin","255, rue Kennedy Nord","Sherbrooke (Québec)","J1E 2E8"
"École Hélène-Boullé","Préscolaire et primaire (public)","Sherbrooke","(819) 823-3233","(819) 823-3233","(819) 823-3220","http://www.csrs.qc.ca/etablissements","heleneboulle@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752009","Commission scolaire de la Région-de-Sherbrooke","Éliane Arsenault","1500, rue Pinard","Sherbrooke (Québec)","J1J 3E1"
"École internationale du Phare","Secondaire (public)","Sherbrooke","(819) 822-5455","(819) 822-5455","(819) 822-6832","http://www.csrs.qc.ca/etablissements","phare@csrs.qc.ca","Générale","Public","Secondaire","Estrie","Français","752148","Commission scolaire de la Région-de-Sherbrooke","Donald Landry","405, rue Sara","Sherbrooke (Québec)","J1H 5S6"
"École Jean-XXIII","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5658","(819) 822-5658","(819) 823-3231","http://www.csrs.qc.ca/etablissements","jeanxxiii@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752010","Commission scolaire de la Région-de-Sherbrooke","Pascale Bilodeau","875, rue Thibault","Sherbrooke (Québec)","J1H 3B3"
"École Laporte","Préscolaire et primaire (public)","Sherbrooke","(819) 822-0728","(819) 822-0728","(819) 822-0922","http://www.csrs.qc.ca/etablissements","laporte@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752012","Commission scolaire de la Région-de-Sherbrooke","Jean Turgeon","655, rue Papineau","Sherbrooke (Québec)","J1E 1Y6"
"École LaRocque","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5688","(819) 822-5688","(819) 822-6858","http://www.csrs.qc.ca/etablissements","larocque@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752013","Commission scolaire de la Région-de-Sherbrooke","Marie-Pierre Tardif","910, rue LaRocque","Sherbrooke (Québec)","J1H 4R6"
"École Le Goéland","Secondaire (public)","Sherbrooke","(819) 822-5505","(819) 822-5505","(819) 822-5562","http://www.csrs.qc.ca/etablissements","goeland@csrs.qc.ca","Générale","Public","Secondaire","Estrie","Français","752167","Commission scolaire de la Région-de-Sherbrooke","Joanne Letendre","90, rue de l'Ontario","Sherbrooke (Québec)","J1J 3P9"
"École Marie-Reine","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5662","(819) 822-5662","(819) 822-6848","http://www.csrs.qc.ca/etablissements","mariereine@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752016","Commission scolaire de la Région-de-Sherbrooke","Linda Pagé","976, rue Caen","Sherbrooke (Québec)","J1G 2A4"
"École Mitchell - Montcalm","Secondaire (public)","Sherbrooke","(819) 822-5633","(819) 822-5633","(819) 822-6842","http://www.csrs.qc.ca/etablissements","mitchellmontcalm@csrs.qc.ca","Générale","Public","Secondaire","Estrie","Français","752124","Commission scolaire de la Région-de-Sherbrooke","Lisa Rodrigue","2050, boulevard Portland","Sherbrooke (Québec)","J1J 1T9"
"École Notre-Dame-de-Liesse","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5514","(819) 822-5514","(819) 864-4790","http://www.csrs.qc.ca/etablissements","nddeliesse@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752018","Commission scolaire de la Région-de-Sherbrooke","Sylvie Patenaude","7409, boulevard Bourque","Sherbrooke (Québec)","J1N 3K7"
"École Notre-Dame-du-Rosaire","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5666","(819) 822-5666","(819) 823-3230","http://www.csrs.qc.ca/etablissements","nddurosaire@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752021","Commission scolaire de la Région-de-Sherbrooke","Alain Poirier","1625, rue du Rosaire","Sherbrooke (Québec)","J1H 2T6"
"École Pie-X - de l'Assomption","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5668","(819) 822-5668","(819) 822-6975","http://www.csrs.qc.ca/etablissements","piexdelassomption@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752023","Commission scolaire de la Région-de-Sherbrooke","Ginette Bisaillon","565, rue Triest","Sherbrooke (Québec)","J1E 2M7"
"École Plein Soleil (Association coopérative)","Préscolaire et primaire (privé)","Sherbrooke","(819) 569-8359","(819) 569-8359","(819) 569-3979","http://www.pleinsoleil.qc.ca","mjmayrand@pleinsoleil.qc.ca","Générale","Privé","Préscolaire, Primaire","Estrie","Français","279501","École Plein Soleil (Association coopérative)","Marie-Josée Mayrand","300, rue de Montréal","Sherbrooke (Québec)","J1H 1E5"
"École primaire de Lennoxville","Préscolaire et primaire (public)","Sherbrooke","(819) 569-5103","(819) 569-5103","(819) 569-5104","http://lennoxville.etsb.qc.ca/","marrotteb@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883010","Commission scolaire Eastern Townships","Dawn Irving","1, rue Academy","Sherbrooke (Québec)","J1M 2A6"
"École primaire de Sherbrooke","Préscolaire et primaire (public)","Sherbrooke","(819) 562-3515","(819) 562-3515","(819) 563-3234","http://www.etsb.qc.ca/sherbrooke/default.htm","dohlerd@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883017","Commission scolaire Eastern Townships","Peggy McCourt","242, rue Ontario","Sherbrooke (Québec)","J1J 3R1"
"École Primaire La Source (EPLS)","Préscolaire et primaire (privé)","Sherbrooke","(819) 791-3701","(819) 791-3701","(819) 791-7072","http://eplasource.org","eplasource@gmail.com","Générale","Privé","Préscolaire, Primaire","Estrie","Français","628501","École Primaire La Source (EPLS)","Samuel Fortier","1399, rue Campbell","Sherbrooke (Québec)","J1M 0C1"
"École Saint-Antoine","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5692","(819) 822-5692","(819) 562-3908","http://www.csrs.qc.ca/etablissements","saintantoine@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752025","Commission scolaire de la Région-de-Sherbrooke","Jean-Mari Marcotte","16, rue Church","Sherbrooke (Québec)","J1M 1S9"
"École Sainte-Anne","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5674","(819) 822-5674","(819) 822-5675","http://www.csrs.qc.ca/etablissements","sainteanne@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752029","Commission scolaire de la Région-de-Sherbrooke","Caroline Roy","851, rue de l'Ontario","Sherbrooke (Québec)","J1J 3R9"
"École secondaire de Bromptonville","Secondaire (privé)","Sherbrooke","(819) 846-2738","(819) 846-2738","(819) 846-4808","http://esb.bromptonville.qc.ca/esb/","esb@esb.bromptonville.qc.ca","Générale","Privé","Secondaire","Estrie","Français","314501","École secondaire de Bromptonville","Simon Croteau","125, rue du Frère-Théode","Sherbrooke (Québec)","J1C 0S3"
"École secondaire régionale Alexander Galt","Secondaire (public)","Sherbrooke","(819) 563-0770","(819) 563-0770","(819) 563-5304","http://www.etsb.qc.ca/alexandergalt/default.htm","longchampsf@etsb.qc.ca","Générale","Public","Secondaire","Estrie","Anglais","883022","Commission scolaire Eastern Townships","Randolph MacLEAN","1700, rue Collège","Sherbrooke (Québec)","J1M 0C8"
"École Sylvestre","Préscolaire et primaire (public)","Sherbrooke","(819) 822-5676","(819) 822-5676","(819) 822-5321","http://www.csrs.qc.ca/etablissements","sylvestre@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752033","Commission scolaire de la Région-de-Sherbrooke","Manon Carrier","1020, rue Kingston","Sherbrooke (Québec)","J1H 3S1"
"École Val-du-Lac","Préscolaire, primaire et secondaire (public)","Sherbrooke","(819) 864-4221","(819) 864-4221","(819) 864-6975","http://www.csrs.qc.ca/etablissements","valdulac@csrs.qc.ca","Générale","Public","Préscolaire, Primaire, Secondaire","Estrie","Français","752155","Commission scolaire de la Région-de-Sherbrooke","Dany Lemaire","8475, rue Blanchette","Sherbrooke (Québec)","J1N 3A3"
"Le Salésien","Secondaire (privé)","Sherbrooke","(819) 566-2222","(819) 566-2222","(819) 566-6969","http://www.seminairesalesien.org","salesien@seminairesalesien.org","Générale","Privé","Secondaire","Estrie","Français","457501","Le Salésien","Raymond Lepage","135, rue Don Bosco Nord","Sherbrooke (Québec)","J1L 1E5"
"Séminaire de Sherbrooke","Collégial (privé)","Sherbrooke","(819) 563-2050","(819) 563-2050","(819) 562-8261","http://www.seminaire-sherbrooke.qc.ca","courrier@seminaire-sherbrooke.qc.ca","Préuniversitaire Technique","Privé","Collégial","Estrie","Français","270543","Séminaire de Sherbrooke","","195, rue Marquette","Sherbrooke (Québec)","J1H 1L6"
"Université Bishop's","Universitaire","Sherbrooke","(819) 822-9600","(819) 822-9600","(819) 822-9661","http://www.ubishops.ca/","","","","Universitaire","Estrie","Anglais","981000","Université Bishop's","","2600, rue du Collège","Sherbrooke (Québec)","J1M 1Z7"
"Université de Sherbrooke","Universitaire","Sherbrooke","(819) 821-7000","(819) 821-7000","","http://www.usherbrooke.ca/","information@USherbrooke.ca","","","Universitaire","Estrie","Français","977000","Université de Sherbrooke","","2500, boulevard de l'Université","Sherbrooke (Québec)","J1K 2R1"
"Villa Marie-Claire","Secondaire (public)","Sherbrooke","(819) 563-1622","(819) 563-1622","(819) 563-6990","","ThibaultMJ@csrs.qc.ca","Générale","Public","Secondaire","Estrie","Français","752165","Commission scolaire de la Région-de-Sherbrooke","Carl Tourigny","470, rue Victoria","Sherbrooke (Québec)","J1H 3J2"
"Vision Sherbrooke inc.","Préscolaire et primaire (privé)","Sherbrooke","(819) 821-1133","(819) 821-1133","(819) 821-3909","http://www.visionschools.com","sherbrooke@visionschools.com","Générale","Privé","Préscolaire, Primaire","Estrie","Anglais, Français","553501","Vision Sherbrooke inc.","Marisa St-Pierre","5100, rue Henri-Labonne","Sherbrooke (Québec)","J1N 1J1"
"Collège Stanstead","Secondaire (privé)","Stanstead","(819) 876-2223","(819) 876-2223","(819) 876-5891","http://www.stansteadcollege.com","admissions@stansteadcollege.com","Générale","Privé","Secondaire","Estrie","Anglais","463501","Collège Stanstead","Michael Wolfe","450, rue Dufferin","Stanstead (Québec)","J0B 3E0"
"École du Jardin-des-Frontières","Préscolaire et primaire (public)","Stanstead","(819) 847-1610","(819) 847-1610","(819) 876-7535","http://www.csdessommets.qc.ca/ecoles/jdf/index.htm","jdesfrontieres@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753025","Commission scolaire des Sommets","Julie Dubois","7, rue Park","Stanstead (Québec)","J0B 3E0"
"École primaire Sunnyside","Préscolaire et primaire (public)","Stanstead","(819) 876-2469","(819) 876-2469","(819) 876-5480","http://sunnyside.etsb.qc.ca/","strattonh@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883019","Commission scolaire Eastern Townships","Steve Weary","441, rue Dufferin","Stanstead (Québec)","J0B 3E2"
"École Notre-Dame-des-Champs","Préscolaire et primaire (public)","Stoke","(819) 822-5519","(819) 822-5519","(819) 878-3779","http://www.csrs.qc.ca/etablissements","nddeschamps@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752035","Commission scolaire de la Région-de-Sherbrooke","Denis Dalpé","222, 8e Rang Est","Stoke (Québec)","J0B 3G0"
"École de la Rose-des-Vents","Préscolaire et primaire (public)","Stornoway","(819) 583-0085","(819) 583-0085","(819) 652-1115","","Johanne.Bedard@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751089","Commission scolaire des Hauts-Cantons","Diane Gaudreau","475, route 108","Stornoway (Québec)","G0Y 1N0"
"École Dominique Savio","Primaire (public)","Stratford","(418) 338-7800","(418) 338-7800","(418) 443-2291","http://www.csappalaches.qc.ca","ecole_domsavio@csappalaches.qc.ca","Générale","Public","Primaire","Estrie","Français","822011","Commission scolaire des Appalaches","Vicky Bolduc","150, avenue Centrale Nord","Stratford (Québec)","G0Y 1P0"
